 #,INVENTORY #,ARTWORK TITLE,ARTIST LAST NAME,ARTIST FIRST NAME,DATE ACQUIRED,ARTWORK DESCRIPTION,Insurance Value,KEEP / REMOVE
1.0,2015.COB.1,The Ambition of the Stick,Cobb,James ,2015.0,Green and purple abstract painting,1800.0,Keep 
2.0,2015.COB.2,Ingratitude in Advance,Cobb,James ,2015.0,White abstract painting,1800.0,Keep 
3.0,2015.COB.3,Nourishment,Cobb,James ,2015.0,Black abstract painting,1800.0,Keep 
4.0,2015.COB.4,Growth,Cobb,James ,2015.0,Grey abstract painting,1800.0,Keep 
5.0,2015.ESP.1.1,La Reina,Esparza,Jenelle ,2015.0,Textile,1250.13,Keep 
6.0,2015.VEG.1,Wheat,Vega Treviño,Louise,2015.0,Painting,2200.0,Keep 
7.0,2016.COB.1,Bernese Oberlander,Cobb,James ,2016.0,Works on Paper,1800.0,Keep 
8.0,2016.COB.2,Ghord Farm,Cobb,James ,2016.0,Works on Paper,1800.0,Keep 
9.0,2016.COB.3,The Plainsman,Cobb,James,2016.0,Works on Paper,1800.0,Keep 
10.0,2016.COB.4,Thought Process of the Stone,Cobb,James,2016.0,Works on Paper,1800.0,Keep 
11.0,2018.DEL.1,Black Lives Matter ,De La Cruz,Joseph,2016.0,Drawing,2000.0,Keep 
12.0,2018.DEL.3,Silence Equals Death,De La Cruz,Joseph,2016.0,Drawing,2000.0,Keep 
13.0,2018.DEL.4,Su Voto es Su Voz ,De La Cruz,Joseph,2016.0,Drawing,2000.0,Keep 
14.0,2018.MAR.1,San Antonio,Martorell,Antonio,2016.0,Works on Paper,2500.0,Keep 
15.0,2017.VAL.1,Bauwens Family in a Beet Field,Valdivia,Alison,2017.0,Works on Paper,1100.0,Keep 
16.0,2018.AND.1,Libertad,Andrade,Fernando,2017.0,Drawing,2500.0,Keep 
17.0,2018.AND.2,Hernandez v. Texas,Andrade,Fernando,2017.0,Drawing,3500.0,Keep 
18.0,2018.CHA.1,I To My Beloved and My Beloved To Me,Chavez,Lisette ,2017.0,Drawing,2450.0,Keep 
19.0,2018.DEA.1,Strata Dip,Dean,(blank),2017.0,Works on Paper,1000.0,Keep 
20.0,2018.DEA.2.1,I Venti di Giona II (III/I/X) ,Dean,(blank),2017.0,Works on Paper,1200.0,Keep 
21.0,2018.DEA.2.2,I Venti di Giona II (VI/I/X),Dean,(blank),2017.0,Works on Paper,1200.0,Keep 
