#,NEW Accession Number ,Old Accession Number (only If changed),Collection Location,PHOTO,SAP Asset Tag #,ARTIST FIRST NAME,ARTIST LAST NAME,ARTWORK TITLE,Category ,TYPE,MEDIA,DIMENSIONS,Client Department,ARTWORK DESCRIPTION,NOTES,YEAR COMPLETED,YEAR ACQUIRED,FUNDING TYPE,DONOR / AQUIRED FROM,PROJECT IN GROUP LOCATION?,LOCATION,ARTWORK ADDRESS,ZIP CODE,X COORDINATES,Y COORDINATES,COUNCIL DISTRICT,HISTORIC DISTRICT?,INSTALLATION VENUE,City Insured,PO NUMBER (FOR CEE),BUDGET,INSURANCE VALUE,YEAR VALUE WAS GIVEN,CAPITOL IMPROVEMENT PROJECT,PASA COMMISSION,Design Team Consultant,GENERAL CONTRACTORS / ARTIST SUBCONTRACTORS,CATEGORY OF ARTIST ,GROUP ARTIST SELF-IDENTIFIES WITH ,GENDER, LGBTQIA+ ,LIVING WITH DISABILITY ,MILITARY ,CITY COUNCIL ,OUTSIDE OF SA
1.0,D.2011.PEL.3,2011.PEL.3,Public Art - Exterior,Yes,,Katie,Pell,Gabions,Three Dimensional ,Sculpture,Concrete,"12' x 3' x 7' , 20' x 18' x 36'",Parks & Recreation,"recycled glass, styrofoam, and random objects cast into concrete.",Deacessioned ,2011.0,2011.0,2007 Bond Program,,Parks,Pearsall Park,4700 Old Pearsall rd ,78242.0,-98.58958,29.36435,4.0,No,Condition issues,Yes,,5500.0,5500.0,,,yes,RVK Architect,,,,,,,,,
2.0,D.2006.SAW.1,2006.SAW.1,Public Art - Exterior,Yes,,Margo,Sawyer,Index For Contemplation,Three Dimensional ,Sculpture,"Plexiglass, concrete",,Aviation,"Sculptural installation consisting of concrete, metal and acrylic cubes, including LED illumination. Removed and stored due to condition and need to reprogram space.",Deacessioned ,2004.0,2004.0,Non-Bond (Aviation),,Airport,"SAT Airport, storage",9800 Airport Blvd. ,78216.0,-98.47285176199995,29.527138318000084,9.0,No,Storage,yes,,75000.0,50000.0,,The San Antonio International Airport Landscape and Entrance Project.,yes,Gould-Evans,,,,,,,,,
3.0,D.1995.PER.1,1995.PER.1,Public Art - Exterior,Yes,,Jonas,Perkins,Jose Navarro,Three Dimensional ,Statue,Bronze,No Record Found,Center City Development & Operations,Bronze statue of Jose Antonio Navarro who as a leader in the Texas Revolution,"Deaccessioned
8.11.22 Council approved donation to TX Historical Commission. ",1995.0,1995.0,Donation," San Antonio Chapter of Sons of Texas, Bonham Chapter",,Navarro Street at Dolorosa,Navarro Street at Dolorosa,18205.0,-98.49760407499991,29.42301014900005,1.0,No,Outdoor - Display,Yes,,,10000.0,,,,,,,,,,,,,
4.0,R.2006.TRE.1,2006.TRE.1,Public Art - Exterior,Yes,,Jesse,Treviño,La Veladora of Our Lady of Guadalupe,Three Dimensional ,Mural ,Ceramic tile,40' h,Guadalupe Cultural Arts Center,The ceramic mural includes a 3-dimensional candle with an eternal flame facing Guadalupe Street.  The flame is intended to serve as a neighborhood beacon.,Recommeded to remove as Guadalupe Cultural Center is maintaining. Need to have MOU first ,2006.0,2006.0,Donation,,,Guadalupe Cultural Arts Center,1315 Gualadulpe St. ,78207.0,-98.51467147699992,29.41845081100007,5.0,No,Outdoor - Display,Yes,,,200000.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R.2019.SEB.21,2019.SEB.21,CE - Interior,Yes,,Enrique (Sebastian),Carbajal,Hiperespacio III,Two Dimensional,Print,Giclee Print,31.5 x 31.5 in.,Arts & Culture,,"Artwork was stolen

1st Floor Parking Elevator Hallway",2020.0,2020.0,Certicates of Obligation ,,City Tower ,City Tower,100 W. Houston St.,78205.0,-98.4941023594437,29.4263501350618,1.0,"Main / Military Plaza
Downtown Design Area
RIO-3",Indoor - Display,Yes,,909.0,909.0,,,,,,,,,,,,,
,R.2011.ART.1,2011.ART.1,Public Art - Exterior,Yes,,The Art Guys,The Art Guys,Suitcase Wheel,Three Dimensional ,Sculpture,recyled suitcases,,Aviation,,No longer at Airport ,2010.0,2011.0,Non-Bond (Aviation),,Airport ,"SAT Airport, Terminal B",9800 Airport Blvd. ,78216.0,-98.47285176199995,29.527138318000084,9.0,No,Indoor - Display,Yes,,,90000.0,,PASA Temporary Exhibits,yes,,,,,,,,,,
,R.2005.FRE.1,2005.FRE.1,Public Art - Interior,Yes,,Amy,Freeman Lee,Grecian Beach Rider II,Two Dimensional,Painting,Watercolor on canvas,,Library,Painting with church and conquistadors,Re-located to Central Library?* but unaccounted for there. Note on inventory noteing it was damaged / removed ,,2005.0,Donation,,Branch Libraries ,Westfall Branch Library,6111 Rosedale Court,78201.0,-98.53346273099993,29.48536740700007,1.0,No,Removed,Yes,,,5000.0,,,,,,,,,,,,,
,R.1985.HAR.1,1985.HAR.1,Public Art - Exterior,No,,Clark ,Harrah,Helium Spires,Three Dimensional ,Sculpture,granite/neon,,Aviation,"Sixty 25mm-dia. helium tubes, three 10 ft. black marble bases, center tower approx. 25 ft. h.
","Deinstalled

In Storage, consultant: Fritz Ozuna",1985.0,1985.0,Donation,,Airport,"SAT Airport, storage",9800 Airport Blvd.,78216.0,-98.47285176199995,29.527138318000084,9.0,Military Plaza,Storage,Yes,,,5000.0,,,,,,,,,,,,,
,R.1982.ALD.1,1982.ALD.1,Public Art - Exterior,Yes,,Betty-Jean,Alden,Samuel Gompers,Three Dimensional ,Monument / Memorial,"Shell, sandstone, pink granite"," 12'x5'x5'   base- 6' 6""x 6""6x6'6""'",Arts & Culture,"Life-size figures of men, women, and children, representing the working family, encircle a pedestal which supports a likeness of Samuel Gompers. Gompers is seen from the knees up and is dressed in a suit. His proper right arm is upraised. ",Artwork was deinstalled and replaced with Labor Plaza with approval from AFL-CIO. Artwork was offered to artists family who declined may be in COSA Storage,1982.0,1982.0,Donation,"Commissioned by Texas AFL-CIO, San Antonio AFL-CIO, and the American Federation of Government Employees",River Walk Public Art Garden,Market Street across from Hemisfair,200 E. Market Street ,78205.0,-98.48555299999992,29.422605667000084,1.0,Hemisfair,Storage,Yes,,,25000.0,,,,,,,,,,,,,
439.0,R.1989.1,1989.ZAC.1,Public Art - Exterior,Yes,,,,Christian and Jewish Association Tile Murals,Two Dimensional,Tile,Tile/ceramics,"5"" x 5"" (14)",Hemisfair,"H.B. Zachry MS Student Works, Ceramic tile murals, depicrt a variety of scenes, each mural is a different work of art. 30 each mural of tiles",2024 Notes: murals were supposed to be located on retaing wall facing parking lot of Magik Theater. These were not able to be found and should be considered removed. ,1989.0,1989.0,Donation,Christian and Jewish Associatin conference,Hemisfair ,Hemisfair,434 S Alamo St,78205.0,-98.48728733299993,29.41932066700008,1.0,"Hemisfair
RIO-3
Downtown Design Area",Outdoor - Display,Yes,,,5000.0,,,No,,,,,,,,,,
