#,NEW Accession Number ,Old Accession Number (only If changed),Collection Location,PHOTO,KEEP / REMOVE,REASON REMOVED,SAP Asset Tag #,ARTIST FIRST NAME,ARTIST LAST NAME,ARTWORK TITLE,Category ,TYPE,MEDIA,DIMENSIONS,Client Department,ARTWORK DESCRIPTION,NOTES,YEAR COMPLETED,YEAR ACQUIRED,FUNDING TYPE,DONOR / AQUIRED FROM,PROJECT IN GROUP LOCATION?, LOCATION,ARTWORK ADDRESS,ZIP CODE,X COORDINATES,Y COORDINATES,INTERIOR/EXTERIOR,COUNCIL DISTRICT,HISTORIC DISTRICT?,INSTALLATION VENUE,City Insured,PO NUMBER (FOR CEE),BUDGET,Insurance Value,YEAR VALUE WAS GIVEN,CAPITOL IMPROVEMENT PROJECT,PASA COMMISSION,Design Team Consultant,General Contractors / Artist Subcontractors 
1,2022.LAB.1.8,,Public Art - Exterior,Yes,Remove,Inventory line item was consolidated  in single project line item.,,Shelley,Potter,Quote Shelley Potter ,,Text Engraving,Concrete ,,Center City Development & Operations,Engraved Quote by Shelley Potter,Text engraving on Labor Plaza center bench floor area,2022.0,2022,2017 Bond Program,,,River Walk Public Art Garden,E. Market Street ,78205.0,-98.48632,29.422827,Exterior,CW,"RIO-3 
Downtown Design Area",Outdoor-Display,,,,5000.0,,,,,
2,2022.LAB.1.7,,Public Art - Exterior,Yes,Remove,Inventory line item was consolidated  in single project line item.,,Mario,Marcel Salas,Quote Mario Marcel Salas,,Text Engraving,Concrete ,,Center City Development & Operations,Engraved Quote by Mario Marcel Salas,Text engraving on Labor Plaza center bench floor area,2022.0,2022,2017 Bond Program,,,River Walk Public Art Garden,E. Market Street ,78205.0,-98.48632,29.422827,Exterior,CW,"RIO-3 
Downtown Design Area",Outdoor-Display,,,,5000.0,,,,,
3,2022.LAB.1.6 ,,Public Art - Exterior,Yes,Remove,Inventory line item was consolidated  in single project line item.,,Linda,Chavez-Thompson,Biography Linda Chavez-Thompson,,Text Engraving,Concrete ,,Center City Development & Operations,Engraved Biography on Linda Chavez-Thompson,Text engraving on Labor Plaza center bench floor area,2022.0,2022,2017 Bond Program,,,River Walk Public Art Garden,E. Market Street ,78205.0,-98.48632,29.422827,Exterior,CW,"RIO-3 
Downtown Design Area",Outdoor-Display,,,,5000.0,,,,,
4,2022.LAB.1.5,,Public Art - Exterior,Yes,Remove,Inventory line item was consolidated  in single project line item.,,Robert,Thompson,Biography Robert Thompson ,,Text Engraving,Concrete ,,Center City Development & Operations,Engraved Biography on Robert Thompson,Text engraving on Labor Plaza center bench floor area,2022.0,2022,2017 Bond Program,,,River Walk Public Art Garden,E. Market Street ,78205.0,-98.48632,29.422827,Exterior,CW,"RIO-3 
Downtown Design Area",Outdoor-Display,,,,5000.0,,,,,
5,2022.LAB.1.4,,Public Art - Exterior,Yes,Remove,Inventory line item was consolidated  in single project line item.,,Joan,Suarez,Quote Joan Suarez ,,Text Engraving,Concrete ,,Center City Development & Operations,Engraved Quote by Joan Suarez,Text engraving on Labor Plaza center bench floor area,2022.0,2022,2017 Bond Program,,,River Walk Public Art Garden,E. Market Street ,78205.0,-98.48632,29.422827,Exterior,CW,"RIO-3 
Downtown Design Area",Outdoor-Display,,,,5000.0,,,,,
6,2022.LAB.1.3,,Public Art - Exterior,Yes,Remove,Inventory line item was consolidated  in single project line item.,,Rebecca,Flores,Quote Rebecca Flores ,,Text Engraving,Concrete ,,Center City Development & Operations,Engraved Quote by Rebecca Flores,Text engraving on Labor Plaza center bench floor area,2022.0,2022,2017 Bond Program,,,River Walk Public Art Garden,E. Market Street ,78205.0,-98.48632,29.422827,Exterior,CW,"RIO-3 
Downtown Design Area",Outdoor-Display,,,,5000.0,,,,,
7,2022.LAB.1.2,,Public Art - Exterior,Yes,Remove,Inventory line item was consolidated  in single project line item., ,Henry S.,Brown,"Henry S. ""Hank"" Brown Biography  ",,Text Engraving,Concrete ,,Center City Development & Operations,Engraved Biography on Hank Brown ,Text engraving on Labor Plaza center bench floor area,2022.0,2022,2017 Bond Program,,,River Walk Public Art Garden,E. Market Street ,78205.0,-98.48632,29.422827,Exterior,CW,"RIO-3 
Downtown Design Area",Outdoor-Display,,,,5000.0,,,,,
8,2022.LAB.1.1 ,,Public Art - Exterior,Yes,Remove,Inventory line item was consolidated  in single project line item.,,Emma,Tenayuca,Emma Tenayuca Biography,,Text Engraving,Concrete ,,Center City Development & Operations,Engraved Biography on Emma Tenayuka ,Text engraving on Labor Plaza center bench floor area,2022.0,2022,2017 Bond Program,,,River Walk Public Art Garden,E. Market Street ,78205.0,-98.48632,29.422827,Exterior,CW,"RIO-3 
Downtown Design Area",Outdoor-Display,,,,5000.0,,,,,
9,2022.QUI.2,,Public Art - Exterior,Yes,Remove,Inventory line item was consolidated  in single project line item.,,Octavio,Quintanilla ,So that Our Crossing May Never be Obstructed ,,Text Engraving,Concrete ,,Center City Development & Operations,Engraved Poem on Concrete,Engraved along concrete sidewalk spiral,2022.0,2022,2017 Bond Program,,,River Walk Public Art Garden,East Market Street ,78205.0,-98.48632,29.422827,Exterior,CW,"RIO-3 
Downtown Design Area",Outdoor-Display,,,,5000.0,,,,,
10,2022.QUI.1.5 ,,Public Art - Exterior,Yes,Remove,Inventory line item was consolidated  in single project line item.,,Octavio,Quintanilla ,Unión ,,Tile,Ceramic ,,Center City Development & Operations,Tile artwork created from 4 individual tiles depicting a labor scene. ,Vertical tiles on Labor Plaza Sign Limestone Wall,2022.0,2022,2017 Bond Program,,,River Walk Public Art Garden,East Market Street ,78205.0,-98.48632,29.422827,Exterior,CW,"RIO-3 
Downtown Design Area",Outdoor-Display,,,,5000.0,,,,,
