"The will be onsite at Centro de Artes starting this week and should remain insured until the removal of the exhibition, September 30,2025. The exhibit will be open to the public from March 27-August 17, 2025.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
#,Artist First Name,Artist Last Name,Artwork Title,Date ,Medium  ,"Dimensions
(h x w x d)",Credit Line,Replacement Value ,Notes
1,Gonzalo,Alvarez,Nawalli: Cloth Mat,2022,Board game,"10"" x 16""",15,Courtesy Too Rad Comics-Gabe,Added to insurance April 25
2,Gonzalo,Alvarez,Nawalli: Game Box,2022,Board game,"3.75"" x 3.75"" x 2.75""",45,Courtesy Too Rad Comics-Gabe,Added to insurance April 25
3,Gonzalo,Alvarez,Nawalli:Guardian Card,2022,Board game,6.75 x 6.75 x 4 in. ,50,Courtesy Too Rad Comics-Gabe,Added to insurance April 25
4,Gonzalo,Alvarez,Nawalli:Temple Cardholder,2022,Board game,2.5 x 3.5 in. ,10,Courtesy Too Rad Comics-Gabe,Added to insurance April 25
5,Gonzalo,Alvarez,"Polloman Teaser, Page 1",2017,Ink on Bristol board,"11"" x 17""",500,Courtesy the Artist,Added to insurance April 25
6,Gonzalo,Alvarez,"Polloman Teaser, Page 2",2017,Ink on Bristol board,"11"" x 17""",500,Courtesy the Artist,Added to insurance April 25
7,Gonzalo,Alvarez,"Polloman Teaser, Page 3",2017,Ink on Bristol board,"11"" x 17""",500,Courtesy the Artist,Added to insurance April 25
8,Gonzalo,Alvarez,"Polloman Teaser, Page 4",2017,Ink on Bristol board,"11"" x 17""",500,Courtesy the Artist,Added to insurance April 25
9,Gonzalo,Alvarez,Poyoman Prologue Codex,2017,Artist Book,9 x 234 in. ,1500,Courtesy the Artist,Added to insurance April 25
10,Gonzalo,Alvarez,"The 6 Legends: ""El Chupacabras"" The Goat Sucker",2017,Ink on Bristol board,"11"" x 17""",500,Courtesy the Artist,Added to insurance April 25
11,Gonzalo,Alvarez,"The 6 Legends: ""El Cucuy"" The Boogeyman",2017,Ink on Bristol board,"11"" x 17""",500,Courtesy the Artist,Added to insurance April 25
12,Gonzalo,Alvarez,"The 6 Legends: ""El Diablo"" The Devil",2017,Ink on Bristol board,"11"" x 17""",500,Courtesy the Artist,Added to insurance April 25
13,Gonzalo,Alvarez,"The 6 Legends: ""La Llorona"" The Weeping Woman",2017,Ink on Bristol board,18 x 24 in. ,750,Courtesy the Artist,Added to insurance April 25
14,Carolyn,Dee Flores,"Two Birthdays, One Pinata",2024,Watercolor on Arches 140,15 x 13 7/8 in. ,500,Courtesy the Artist,Added to insurance April 25
15,Carolyn,Dee Flores,Teresita Watering With Her Mother on the Balcony,2016,Oil on Cardboard,12 x 9 3/8 in. ,100,Coutesy the Artist,Added to insurance April 25
16,Carolyn,Dee Flores,Piraguas!,2016,Oil on Cardboard,15 x 13 7/8 in. ,100,Courtesy the Artist,Added to insurance April 25
17,Carolyn,Dee Flores,Children Playing in the Street With Fire Hydrant,2016,Oil on Cardboard,15 x 13 7/8 in. ,100,Courtesy the Artist,Added to insurance April 25
18,Ogden Elementary,,Ogden Rainbow Xelena Portait,2019,Acrylic,"48""x96""",5000,Special recognition for the students of Ogden Elementary 2018-2019 who collaborated to create this mural. Teacher: Kimberly Garza Chbeir,Added to insurance April 25
19,Kat,Fajardo,Miss Quinces Thumbnail,2020,Graphite Pencil,"2.5""x3.5""",50,Kat Fajado,Added to insurance April 25
20,Kat,Fajardo,Miss Quinces Penciled Page,2020,Graphite Pencil,"8.5""x11""",200,Kat Fajado,Added to insurance April 25
21,Kat,Fajardo,Miss Quinces,2020,Laser printed on paper,"8.5""x11""",200,Kat Fajado,Added to insurance April 25
22,Kat,Fajardo,The First Rule of Punk Cover Concept #1,2016,Graphite Pencil,"11""x8.5""",200,Kat Fajado,Added to insurance April 25
23,Kat,Fajardo,The First Rule of Punk Cover Concept #2,2016,Ink & Nib,"11""x8.5""",200,Kat Fajado,Added to insurance April 25
24,Kat,Fajardo,The First Rule of Punk Cover Jacket,2016,Color Print,"11""x8.5""",200,Kat Fajado,Added to insurance April 25
25,Adriana M.,Garcia,AAU_Digital Story (All Around Us Video),2018,Video Animation (DVD),,200,Adriana M. Garcia & Xelena Gonzalez with Dreamscape Media,Added to insurance April 25
26,Adriana M.,Garcia,All Around Us ALA Bookmark,2018,Color Print,"2"" x 6""",50,Adriana M. Garcia & Xelena Gonzalez with American Library Association,Added to insurance April 25
27,Adriana M.,Garcia,All Around Us ALA Poster,2018,Color Print,"18"" x 24""",100,Adriana M. Garcia & Xelena Gonzalez with American Library Association,Added to insurance April 25
28,Adriana M.,Garcia,Abuela nos ha enseñado / Son seres vivos ,2021,Acrylic on wood,Diptych: 25 x 25 in. and 28 x 25 in. ,2000,Courtesy the Artist,Added to insurance April 25
29,Adriana M.,Garcia,"We don't know why they came or where they were before... ...but there is someting special in the land we call home, like magnets that draw these marvels from outer space. / No sabemos por qué vinieron o dónde estaban ante... ...pero hay algo especial en la tierra que llamamos hogar, como imanes que atraen a estas. maravillas desde del espacio exterior.",2021,Acrylic on wood,"48""x24""",1000,Courtesy the Artist,Added to insurance April 25
30,Adriana M.,Garcia,Isabel flew north,2022,Acrylic on Paper,23.5 x 11 in. ,500,Courtesy the Artist,Added to insurance April 25
31,Adriana M.,Garcia,"She asks us to wonder why this one has so many holes like secret rooms. / Ella nos pide que nos preguntemos por qué ésta tiene tantos agujeros como cuartos secretos. |  We look inside to see molten heat bubbing from the earth's belly, burning new rocks into being! / Miramos adentro para ver el calor fundido burbujeando desde la panza de la tierra, quemando nuevas rocas hasta crearlas!",2021,Acrylic on wood,Diptych: 27 x 24 in. each ,2000,Courtesy the Artist,Added to insurance April 25
32,Adriana M.,Garcia,Monica's imagination was as big as the sky,2022,Acrylic on Paper,23.5 x 11 in. ,500,Coutesy the Artist,Added to insurance April 25
33,Adriana M.,Garcia,Nuestra tierra nos da todo,2021,Acrylic on wood,48 x 24 in. ,1000,Collection of Xelena Gonzalez,Added to insurance April 25
34,Adriana M.,Garcia,El agua crea y rompe,2021,Acrylic on wood,48 x 24 in. ,1000,Collection of Xelena Gonzalez,Added to insurance April 25
35,Adriana M.,Garcia,Desde el cielo nocturno,2021,Acrylic on wood,48 x 24 in. ,1000,Collection of Xelena Gonzalez,Added to insurance April 25
36,Adriana M.,Garcia,"""They have survived fire and so they give us strength."" When we're old enough to enter the sweat lodge, we'll know exactly what she means. / Han sobrevivido al fuego, y por eso nos dan fuerza. Cuando tengamos la edad suficiente para entrar al temazcal, sabremos exactamente a lo que ella se refiere. ",2021,Acrylic on wood,48 x 24 in. ,1000,Collection of Destiny Hernandez ,Added to insurance April 25
37,Adriana M.,Garcia,"That day your spirit came to us rains came in  from the Pacific to bless
Clouds peered over the mountains in response  to the singing of medicine plants 
Who danced back and forth in shawls of mist",2024,Acrylic on Paper,"30""x22""",1000,Courtesy the Artist,Added to insurance April 25
