"They will be onsite at Culture Commons starting this week and should remain insured until the removal of the exhibition, January 25, 2026. The exhibit will be open to the public from February 13, 2025 – January 16, 2026",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
#,Artist First Name,Artist Last Name,Artwork Title,Date ,Medium  ,"Dimensions
(h x w x d)",Credit Line,Replacement Value ,Notes
1,Abel ,Aguirre,Mi Tierra,2024,Acrylic on paper,16 in. x 20 in.,Courtesy the artist,500,Added to insurance April 25
2,Abel ,Aguirre,Schilo's,2024,Acrylic on paper,16 in. x 20 in.,Courtesy the artist,500,Added to insurance April 25
3,Abel ,Aguirre,Golden Star,2024,Acrylic on paper,16 in. x 20 in.,Courtesy the artist,500,Added to insurance April 25
4,Abel ,Aguirre,Paesanos,2024,Acrylic on paper,16 in x 20 in.,Courtesy the artist,500,Added to insurance April 25
5,Abel ,Aguirre,Simi's Indian Cuisine,2024,Acrylic on paper,16 in. x 20 in.,Courtesy the artist,500,Added to insurance April 25
6,Abel ,Aguirre,Mr. & Mrs. G's,2024,Acrylic on paper,16 in. x 20 in.,Courtesy the artist,500,Added to insurance April 25
7,Kat,Cadena,Beto Making Pinole de Nuez,2025,Oil and embellished with paint sticks,50 in. x 40 in.,Courtesy the artist,15000,Added to insurance April 25
8,Manuel ,Davila,Acequias of Memory,2024,"Etched mirror, historical photographs, cornucopia of native Texas foods",36 in. x 72 in.,Courtesy the artist,2500,Added to insurance April 25
9,Douglas ,Galloway,The Sacred Tree of Human Hearts,2024,"Paper, paint and beeswax mounted on wood panels","190 blocks, 5 in. x 5 in.",Courtesy the artist,6000,Added to insurance April 25
10,Adriana,Garcia,Passing Time,2024,Layers of painted and cut imagery in shadowbox,22 in. x 22 in.,Courtesy the artist,2000,Added to insurance April 25
11,Doroteo,Garza,Mazoid Cudgel of Triumph,2024,"Ceramic, concrete base, blown glass and wood",30 in. x 18 in.,Courtesy the artist,1500,Added to insurance April 25
12,Michelle,Hernandez,A Shrine for Amaranth,2024,"Sculpture, amaranth",18 in. x 18 in. x 22 in. high,Courtesy the artist,3500,Added to insurance April 25
13,Soomin,Jung Remmler,Bald Cypress,2024,"Colored Pencil, Gouache, Watercolor and fluorescent gouache on paper",8 in. x 8 in.,Courtesy the artist,500,Added to insurance April 25
14,Soomin,Jung Remmler,Bald Cypress,2025,"Colored Pencil, Gouache, Watercolor and fluorescent gouache on paper",8 in. x 8 in.,Courtesy the artist,750,Added to insurance April 25
15,Soomin,Jung Remmler,Home,2024,"Gouache, flourescent gouache on paper",8 in. x 8 in.,Courtesy the artist,750,Added to insurance April 25
16,Soomin,Jung Remmler,Large Mouth Bass,2025,"Watercolor, Gouache and flourescent gouache on paper",8 in. x 8 in.,Courtesy the artist,750,Added to insurance April 25
17,Soomin,Jung Remmler,Red Shiner,2025,"Watercolor, Gouache and flourescent gouache on paper",8 in. x 8 in.,Courtesy the artist,750,Added to insurance April 25
18,Soomin,Jung Remmler,River Runs Through It,2024,"Watercolor, Gouache and flourescent gouache on paper",8 in. x 8 in.,Courtesy the artist,750,Added to insurance April 25
19,Soomin,Jung Remmler,Sunfish,2024,"Watercolor, Gouache and flourescent gouache on paper",8 in. x 8 in.,Courtesy the artist,750,Added to insurance April 25
20,Soomin,Jung Remmler,"Sinking, Rising",2024,"Watercolor, Gouache and flourescent gouache on paper",8 in. x 8 in.,Courtesy the artist,1000,Added to insurance April 25
21,Soomin,Jung Remmler,Snow Fell on Hills and Dales,2025,"Watercolor, Gouache and flourescent gouache on paper",8 in. x 8 in.,Courtesy the artist,750,Added to insurance April 25
22,Soomin,Jung Remmler,You are My Sweet Home,2024,"Gouache, flourescent gouache on paper",8 in. x 8 in.,Courtesy the artist,500,Added to insurance April 25
23,Soomin,Jung Remmler,Snow Fell on Hills and Dales: Fox,2025,"Watercolor, Gouache and flourescent gouache on paper",8 in. x 8 in.,Courtesy the artist,1000,Added to insurance April 25
24,Soomin,Jung Remmler,Sun and Moon,2025,"Watercolor, Gouache and flourescent gouache on paper",8 in. x 8 in.,Courtesy the artist,750,Added to insurance April 25
25,Soomin,Jung Remmler,Sunfish,2025,"Watercolor, Gouache and flourescent gouache on paper",8 in. x 8 in.,Courtesy the artist,750,Added to insurance April 25
26,Soomin,Jung Remmler,Starry Night,2025,"Watercolor, Gouache and flourescent gouache on paper",8 in. x 8 in.,Courtesy the artist,750,Added to insurance April 25
27,Soomin,Jung Remmler,Roots,2025,"Watercolor, Gouache and flourescent gouache on paper",8 in. x 8 in.,Courtesy the artist,750,Added to insurance April 25
28,Soomin,Jung Remmler,When Sky is Peach,2024,"Watercolor, Gouache and flourescent gouache on paper",8 in. x 8 in.,Courtesy the artist,750,Added to insurance April 25
29,Nishima,Kaplan,San Antonio: A Creative Confluence of Cultures,2024,"Mixed media, ceramic tiles, stained glass mosaic, paper, hot wax encaustic, hand-pulled etching prints, photo transfer and water color painting on birch wood supports","6 panels, 24 in. x 24 in.",Courtesy the artist,9000,Added to insurance April 25
30,Blas,Lopez,Missions Festival,2022,Acrylic on canvas,18 in. x 36 in.,Courtesy the artist,600,Added to insurance April 25
31,Marcos,Medellin,Mission Molcajete,2024,"Limestone, mortar",48 in. x 36 in.,Courtesy the artist,7000,Added to insurance April 25
32,Cruz,Ortiz,Yanguana near the San  Juan Mission and Mission Espada,2024,Paint on handmade canvas (3 paintings),24 in. x 18 in. each,Courtesy the artist,13500,Added to insurance April 25
33,Ashley,Perez,The Three Sisters,2024,Oil paintings on cradled wood panels,18 in. x 24 in. ,Courtesy the artist,3000,Added to insurance April 25
34,Ashley,Perez,Mother,2024,Oil paintings on cradled wood panels,18 in. x 24 in. ,Courtesy the artist,3000,Added to insurance April 25
35,Ashley,Perez,Rowboat,2024,Oil paintings on cradled wood panels,18 in. x 24 in. ,Courtesy the artist,3000,Added to insurance April 25
36,Ashley,Perez,AP,2024,Oil paintings on cradled wood panels,18 in. x 24 in. ,Courtesy the artist,3000,Added to insurance April 25
37,Crystal,Rocha,I triple dog dare you (to eat a chile pequin),2024,Acrylic on canvas,24 in. x 32 in. ,Courtesy the artist,600,Added to insurance April 25
38,Eva,Sanchez,Field Notes,2024,Oil on canvas,30 in. x 30 in.,Courtesy the artist,20000,Added to insurance April 25
39,Jose,Sotelo,Artist Unknown,2024,"Multimedia installation to include wheat paste, drawing and photography",96 in. x 96 in.,Courtesy the artist,5000,Added to insurance April 25
40,Ronney,Stevens,Soul Food Gastronomy,2024,Pastel on Clorfix Paper,24 in. x 36 in.,Courtesy the artist,2000,Added to insurance April 25
41,Daniela Paz,Talamantes Martinez,La Ceremonia de la Barbacoa,2024,"Acrylic, oil, pastel on canvas",53 in. x 65 in.,Courtesy the artist,7000,Added to insurance April 25
42,Bria,Woods,The Herstory Project Chapter 4: City of Gastronomy,2024,"Potraiture, (7 portraits)",16 in. x 20 in. each,Courtesy the artist,900,Added to insurance April 25
43,Ursula,Zavala,Guacamole,2024,Tapestry work,24 in. x 36 in.,Courtesy the artist,1000,Added to insurance April 25
44,Ursula,Zavala,"Heard, Behind, Sharp",2024,Tapestry work,24 in. x 36 in.,Courtesy the artist,1500,Added to insurance April 25
45,Ursula,Zavala,Can I Throw Away For You? ,2024,Tapestry work,24 in x 36 in. ,Courtesy the artist,1200,Added to insurance April 25
,,,,,,,Total Value,126800,
,,,,,,,Total Pieces,45,
