Removed loans ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
 #,INVENTORY #,ARTIST LAST NAME,ARTIST FIRST NAME,ARTWORK TITLE,DATE ACQUIRED,Medium ,Dimensions ,Replacement Value,Credit Line,KEEP / REMOVE
1,L.2019.SEB.10,Carbajal,Enrique (Sebastian),(Blue Horizontal Figure),2019,Painted Steel,174 x 60 x 51 in.,200000,Courtesy the Artist,Remove- Returned 
2,L.2019.SEB.11,Carbajal,Enrique (Sebastian),Cancer,2019,Painted Steel,2 pieces - 39.3 x 96.4 x 88.5 in.,110000,Courtesy the Artist,Remove- Returned 
3,L.2019.SEB.12,Carbajal,Enrique (Sebastian),Espejo Cosmico,2019,Painted Steel,82.6 x 37.7 x 27.9  in.,98500,Courtesy the Artist,Remove- Returned 
4,L.2019.SEB.13,Carbajal,Enrique (Sebastian),Protocolo,2019,Painted Steel,81.8 x 39.3 x 47.2  in.,93600,Courtesy the Artist,Remove- Returned 
5,Williams_SAALM_Loan,Williams,Bernice Appelin,The Crutch Series,2022,Assemblage,60 x 27 in. ,1500,Courtesy the Artist,Remove- Returned 
6,Williams_Blanton Collection Loan,Williams,Bernice Appelin,"""Slave Narratives: Transbluency #5"" (Commissioned work from Crutches Series)",2022,Assemblage (crutches...),60 x 27 in. ,7500,Courtesy the Artist,Remove- Returned 
7,Wanjiku_Proposed Display 2,Wanjiku,Naomi,Emerging Voices ,2022,"Hand painted fabrics, Yarns, Galvanized steel wire, Stainless steel wire, Beads","62"" x 72""",18000,Courtesy the Artist,Remove- Returned 
8,Wanjiku_Proposed Display 1,Wanjiku,Naomi,Voices of Africa,2022,"Hand painted fabrics, Yarns, Galvanized steel wire, Stainless steel wire, Beads","69"" x 72""",18000,Courtesy the Artist,Remove- Returned 
9,TNewsome3_OurBlackMen,Newsome,Theresa,90% of our black men,2022,Photography - Archival Pigment Print,"11""x14"" (16x20 framed)",500,Courtesy the Artist,Remove- Returned 
10,TNewsome2_IWasWaiting.,Newsome,Theresa,I was waiting.,2022,Photography - Silver Gelatin Prints,"11""x14"" (16x20 framed)",500,Courtesy the Artist,Remove- Returned 
11,TNewsome1_It'sRaining,Newsome,Theresa,It's raining...would you like to get something to eat?,2022,Photography - Silver Gelatin Prints,"18"" x 24"" (framed)",1000,Courtesy the Artist,Remove- Returned 
12,Stewart-Serenity,Stewart,Don,Serenity,2022,Acrylic on canvas,20 x 16 in.,500,Courtesy the Artist,Remove- Returned 
13,Stewart-Now,Stewart,Don,Now,2022,Acrylic on canvas,16 x 20 in. ,500,Courtesy the Artist,Remove- Returned 
14,Stewart - Brain What Are you Thinking,Stewart,Don,Brain what are you thinking?,2022,Acrylic on canvas,20 x 16 in.,500,Courtesy the Artist,Remove- Returned 
15,Pressley_ContemplatingFlight_61x84,Pressley,Calvin,Contemplating Flight,2022,Oil on Canvas,60 x 84.5 in. ,13000,Courtesy the Artist,Remove- Returned 
16,Picquet3_EarthDreamSubstantia,Picquet,Wardell,Earth Dream Substantia,2022,Mixed media/Collage,"16"" x 20""",1500,Courtesy the Artist,Remove- Returned 
