ACCESSNO,ACQVALUE,APPNOTES,APPRAISOR,AUTHORX,CALLNO,CAPTION,CATBY,CATDATE,CLASSES,COLLECTION,CONDDATE,CONDEXAM,CONDITION,CONDNOTES,CONTROLNO,COPYNO,CREATOR,CREDIT,CURVALMAX,CURVALUE,DATASET,DATE,DESCRIP,DISPVALUE,EARLYDATE,EDITION,EVENT,EXHIBITNO,EXHLABEL1,EXHLABEL2,EXHLABEL3,EXHLABEL4,EXHSTART,FLAGDATE,FLAGNOTES,FLAGREASON,GPARENT,HOMELOC,IMAGENO,INSCOMP,INSDATE,INSPHONE,INSPREMIUM,INSREP,INSVALUE,INVNBY,INVNDATE,ISBN,ISSN,LANGUAGE,LATDEG,LATEDATE,LCCN,LEGAL,LOANCOND,LOANDUE,LOANINNO,LOANNO,LOCFIELD1,LOCFIELD2,LOCFIELD3,LOCFIELD4,LOCFIELD5,LOCFIELD6,LONGDEG,MAINTCYCLE,MAINTDATE,MAINTNOTE,NOTES,OBJECTID,OBJNAME,OBJNAME2,OBJNAME3,OBJNAMES,OLDNO,OTHERNO,PARENT,PEOPLE,PHYSDESC,POLICYNO,PROVENANCE,PUBLISHER,PUBNOTES,PUBPLACE,RECAS,RECDATE,RECFROM,RELNOTES,SERIES,SERIESX,SITE,SITENO,SITESADDED,SPINELBL,STATUS,STATUSBY,STATUSDATE,STERMS,SUBJECTS,TEMPAUTHOR,TEMPBY,TEMPDATE,TEMPLOC,TEMPNOTES,TEMPREASON,TEMPUNTIL,TITLE,TITLEX,TLOCFIELD1,TLOCFIELD2,TLOCFIELD3,TLOCFIELD4,TLOCFIELD5,TLOCFIELD6,UDF1,UDF10,UDF11,UDF12,UDF13,UDF14,UDF15,UDF16,UDF17,UDF18,UDF19,UDF2,UDF20,UDF21,UDF22,UDF3,UDF4,UDF5,UDF6,UDF7,UDF8,UDF9,UPDATED,UPDATEDBY,VALUEDATE,WEBINCLUDE
B1,0,,,,,,pes,2001-10-14 00:00:00,,Osborne Homestead Museum,/ /,,Good,,,1,"Stall,Sylvanus",,0,0,,1901,,,1901,,,0,,,,,/ /,/ / : : AM,,,8: Communication Artifact,living room case by front frenchdoors,0,,/ /,,,,0,,/ /,,,,0,0,,,,/ /,,0,,,,,,,0,,/ /,,,B1,book,,,,,,Documentary Artifact,,284 p.,,,Vir,,Philadelphia,,,,,self and sex,,,,,,Shelf,,/ /,,"sexual health, male physical health, male",,,/ /,,,,,What a Man of Forty-five Ought to Know,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2001-10-14 14:29:00,,/ /,.F.
B2,0,,,,,,pes,2001-10-14 00:00:00,,Osborne Homestead Museum,/ /,,Good,,,1,Aristophanes,,0,0,,n.d.,,,0,,,0,,,,,/ /,/ / : : AM,,,8: Communication Artifact,living room case by front frenchdoors,0,,/ /,,,,0,,/ /,,,,0,0,,,,/ /,,0,,,,,,,0,,/ /,,,B2,book,,,,,,Documentary Artifact,,281 p.,,,E.P. Dutton,,New York,,,,,,,,,,,Shelf,,/ /,,"drama, greek",,,/ /,,,,,"The Archanians, the Knights,and the Birds",,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2001-10-14 14:28:00,,/ /,.F.
B3,0,,,,,,pes,2001-10-14 00:00:00,,Osborne Homestead Museum Collection,/ /,,Good,,,1,"Kobbe,Gustav",,0,0,,1932,,,1932,,,0,,,,,/ /,/ / : : AM,,,8: Communication Artifact,living room case by front frenchdoors,0,,/ /,,,,0,,/ /,,,,0,0,,,,/ /,,0,,,,,,,0,,/ /,,,B3,book,,,,,,Documentary Artifact,,211 p.,,,G. Schrimer,,New York,,,,,,,,,,,Shelf,,/ /,,"opera, german",,,/ /,,,,,Wagner's Music-dramas Analysed,"with the leading motives Nibelung, Tristan, Mastersingers, Parsifal",,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2023-04-08 15:18:00,Unknown,/ /,.F.
B4,0,,,,,,pes,2001-10-14 00:00:00,,Osborne Homestead Museum,/ /,,Good,,,1,"Balesier, Charles W.",,0,0,,1884,,,1884,,,0,,,,,/ /,/ / : : AM,,,8: Communication Artifact,living room case by front frenchdoors,0,,/ /,,,,0,,/ /,,,,0,0,,,,/ /,,0,,,,,,,0,,/ /,,,B4,book,,,,,,Documentary Artifact,,296 p.,,,R. Worthington,,New York,,,,,,,,,,,Shelf,,/ /,,"biography, political",,,/ /,,,,,James G. Blaine: A Sketch of His Life,with a brief record of the life of John Logan,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2001-10-14 14:27:00,,/ /,.F.
OHM B5,0,,,,,,pes,2001-10-14 00:00:00,,Osborne Homestead Museum,/ /,,Good,,,0,"Lippmann, Walter",,0,0,,1914,,,1914,,,0,,,,,/ /,/ / : : AM,,,8: Communication Artifact,living room case by front frenchdoors,0,,/ /,,,,0,,/ /,,,,0,0,,,,/ /,,0,,,,,,,0,,/ /,,,OHM B5,book,,,,,,Documentary Artifact,,334 p.,,,Mit chell Kennerley,,New York,,,,,,,,,,,Shelf,,/ /,,Politics,,,/ /,,,,,Drift & Mastery,an Attempt to Diagnose the Current Unrest,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2007-06-01 13:07:00,Unknown,/ /,.F.
OHM B6,0,,,,,,,2001-10-14 00:00:00,,Osborne Homestead Museum,/ /,,Good,,,0,"Huneker, James",,0,0,,1913,,,1913,,,0,,,,,/ /,/ / : : AM,,,8: Communication Artifact,Living room case by front frenchdoors,0,,/ /,,,,0,,/ /,,,,0,0,,,,/ /,,0,,,,,,,0,,/ /,,,OHM B6,book,,,,,,Documentary Artifact,,195 p.,,,Theodore Presser,,Philadelphia,,,,,,,,,,,Shelf,,/ /,,"Music, essays",,,/ /,,,,,Old Fogy: His Musical Opinions and Grotesques,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2006-05-19 12:35:00,,/ /,.F.
OHM B7,0,,,,,,pes,2001-10-14 00:00:00,,Osborne Homestead Museum,/ /,,Good,,,0,"Doyle, Arthur Conan",,0,0,,1919,,,1919,,,0,,,,,/ /,/ / : : AM,,,8: Communication Artifact,livingroom case by front frenchdoors,0,,/ /,,,,0,,/ /,,,,0,0,,,,/ /,,0,,,,,,,0,,/ /,,,OHM B7,book,,,,,,Documentary Artifact,,160 p.,,,George H. Doran,,New York,,,,,,,,,,,Shelf,,/ /,,"civilization, future",,,/ /,,,,,The Vital Message,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2006-05-19 12:29:00,,/ /,.F.
OHM B8,0,,,,,,pe,2001-10-14 00:00:00,,Osborne Homestead Museum,/ /,,Good,,,0,,,0,0,,1921,,,1921,,,0,,,,,/ /,/ / : : AM,,,8: Communication Artifact,"left bookcase in living room, row 3",0,,/ /,,,,0,,/ /,,,,0,0,,,,/ /,,0,,,,,,,0,,/ /,,,OHM B8,Book,,,,,,Documentary Artifact,,928 p.,,,Porter E. Sargent,,Boston,,,,,Sargent's Handbook Series,,,,,,Shelf,,/ /,,"travel, new england history, new england",,,/ /,,,,,"A Handbook of New England, 1921",,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2010-07-11 12:52:00,Unknown,/ /,.F.
OHM B9,0,,,,,,pes,2001-10-14 00:00:00,,Osborne Homestead Museum,/ /,,Good,,,0,"Higginson, Thomas Wentworth",,0,0,,1898,,,1898,,,0,,,,,/ /,/ / : : AM,,,8: Communication Artifact,livingroom case by front frenchdoors,0,,/ /,,,,0,,/ /,,,,0,0,,,,/ /,,0,,,,,,,0,,/ /,,,OHM B9,book,,,,,,Documentary Artifact,,364 p.,,,Riverside Press,,Boston,,,,,,,,,,,Shelf,,/ /,,memoirs,,,/ /,,,,,Cheerful Yesterdays,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2006-05-19 14:00:00,,/ /,.F.
B10,0,,,,,,pes,2001-10-18 00:00:00,,Osborne Homestead Museum,/ /,,Good,,,1,Automobile Association,,0,0,,1950,,,1950,,,0,,,,,/ /,/ / : : AM,,,8: Communication Artifact,case in living room by front french doors,0,,/ /,,,,0,,/ /,,,,0,0,,,,/ /,,0,,,,,,,0,,/ /,,,B10,book,,,,,,Documentary Artifact,,60 p.,,,The Automobile Association,,London,,,,,,,,,,,Shelf,,/ /,,"England, road travel Wales, road travel",,,/ /,,,,,Road Book of England & Wales,"With gazetter, itineraries, maps and town plans",,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2001-10-18 10:04:00,,/ /,.F.
