ACCESSNO,ACQVALUE,APPNOTES,APPRAISOR,CAPTION,CATBY,CATDATE,CLASSES,COLLECTION,CONDDATE,CONDEXAM,CONDITION,CONDNOTES,COPYRIGHT,CREATOR,CREDIT,CURVALMAX,CURVALUE,DATASET,DATE,DESCRIP,DIMNOTES,DISPVALUE,EARLYDATE,EVENT,EXHIBITNO,EXHLABEL1,EXHLABEL2,EXHLABEL3,EXHLABEL4,EXHSTART,FILMSIZE,FLAGDATE,FLAGNOTES,FLAGREASON,FRAME,FRAMENO,GPARENT,HOMELOC,IMAGENO,INSCOMP,INSDATE,INSPHONE,INSPREMIUM,INSREP,INSVALUE,INVNBY,INVNDATE,LATDEG,LATEDATE,LEGAL,LOANCOND,LOANDUE,LOANINNO,LOANNO,LOCFIELD1,LOCFIELD2,LOCFIELD3,LOCFIELD4,LOCFIELD5,LOCFIELD6,LONGDEG,MAINTCYCLE,MAINTDATE,MAINTNOTE,MEDIUM,NEGLOC,NEGNO,NOTES,OBJECTID,OBJNAME,OBJNAME2,OBJNAME3,OBJNAMES,OLDNO,ORIGCOPY,OTHERNO,OUTDATE,PARENT,PEOPLE,PLACE,POLICYNO,PRINTSIZE,PROCESS,PROVENANCE,PUBNOTES,RECAS,RECDATE,RECFROM,RELNOTES,SITE,SITENO,SLIDENO,STATUS,STATUSBY,STATUSDATE,STERMS,STUDIO,SUBJECTS,TEMPAUTHOR,TEMPBY,TEMPDATE,TEMPLOC,TEMPNOTES,TEMPREASON,TEMPUNTIL,TITLE,TLOCFIELD1,TLOCFIELD2,TLOCFIELD3,TLOCFIELD4,TLOCFIELD5,TLOCFIELD6,UDF1,UDF10,UDF11,UDF12,UDF13,UDF14,UDF15,UDF16,UDF17,UDF18,UDF19,UDF2,UDF20,UDF21,UDF22,UDF3,UDF4,UDF5,UDF6,UDF7,UDF8,UDF9,UPDATED,UPDATEDBY,VALUEDATE,WEBINCLUDE
OHM1980.0357C,0,,,,B. Badela,2012-07-27 00:00:00,,Frances Osborne Kellogg Collection,/ /,,,,,,,0,0,,2012-07-27 00:00:00,"Cylindrical glass vase acid etched leaf and stem decoration,. Initials scratched on side: DCJ, height 12"", diameter 4""",,,0,,0,,,,,/ /,,/ / : : AM,,,,,2: Building Furnishings,Ice Box Room,0,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2011-12-29 00:00:00,,,,,,OHM 1980.0357C,Vase,,,,,,,/ /,Household Accessory,,Osborne Homestead Museum,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,vase,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2012-07-27 14:18:00,Unknown,/ /,.F.
OHM1980.382,0,,,,,2012-07-27 00:00:00,,Frances Osborne Kellogg Collection,/ /,,,,,,,0,0,,2012-07-27 00:00:00,Brass lighter pot with round tray and wire handle ceramic lighter. Pot is round in shape with hinged top and has applied handle.,,,0,,0,,,,,/ /,,/ / : : AM,,,,,2: Building Furnishings,Library,0,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2011-12-29 00:00:00,,,,,,OHM1980.382,Cachepot,,,,,,,/ /,Household Accessory,,Osborne Homestead Museum,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2012-07-27 14:23:00,Unknown,/ /,.F.
OHM1980.0515,0,,,,,2012-07-21 00:00:00,,Osborne Homestead Museum Collection,/ /,,,,,C. Jones,,0,0,,1919,,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,,0,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2012-07-21 00:00:00,,,,,,515,"Print, photographic",,,,,,,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2023-04-08 15:29:00,Unknown,/ /,.F.
OHM 1980.0357A,0,,,,B. Badela,2012-07-27 00:00:00,,Frances Osborne Kellogg Collection,/ /,,,,,,,0,0,,2012-07-27 00:00:00,"Semi-antique plaster figurine (over wood), polychromed. Inscribed on back of base: Burns Oates,19th century, 15"" high",,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,MQ1,0,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2011-12-29 00:00:00,,,,,,OHM 1980.0357A,Figurine,,,,,,,/ /,Art,,Osborne Homestead Museum,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,Figurine,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2012-07-27 14:09:00,Unknown,/ /,.F.
OHM 1980.0357B,0,,,,B. Badela,2012-07-27 00:00:00,,Frances Osborne Kellogg Collection,/ /,,,,,,,0,0,,2012-07-27 00:00:00,"Plaster figurine of Mother holding Child, finished in black and ivory color, signed on base in recessed cartouche: SR, with numbers which are not legible. Simulated wood graining.",,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,MQ1,0,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2011-12-29 00:00:00,,,,,,OHM 1980.0357B,Figurine,,,,,,,/ /,Art,,Osborne Homestead Museum,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,Figurine,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2012-07-27 14:12:00,Unknown,/ /,.F.
2022.511,0,,,Back of photo Ph-p-511,bb,/ /,,Nichols Collection,/ /,,Good,,,,,0,0,,,Photograph of Holstein Bull w/ 2 men,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC File Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,/ /,,Photo Paper,,,,2022.511,"Print, Photographic",,,,,,Ph-p-511,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,Photograph of Holstein Bull w/ 2 men,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,0.0,0.0,,2022-08-18 12:55:00,Unknown,/ /,.F.
2022.1,0,,,Holiday Card Joash and Frances,,2022-02-26 00:00:00,,Osborne Homestead Museum Collection,/ /,,,,,,,0,0,,,1934 holiday card of Frances with her prized bull Joash - Best Wishes for a Happy Christmas and a Bright New Year,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC File Cabinet,1,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-02-26 00:00:00,,Paper Cardstock,,,,2022.1,"Print, Photographic",,,,,,,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,Holiday Card with Frances and Her Bull Joash,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-08-18 12:13:00,Unknown,/ /,.F.
2022.519,0,,,Back of postcard,,2022-02-26 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,"Postcard of Allamuchy Farms bull Korndyke Abbekerk, No. 34503 H.F.H.B",,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC File Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-02-26 00:00:00,,Paper Cardstock,,,,2022.519,"Print, Photographic",,,,,,Ph-P-519,/ /,Documentary Artifact,,"Allamuchy, NJ",,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,Postcard of Allamuch Farms bull Korndyke Abbekerk,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-08-18 12:57:00,Unknown,/ /,.F.
2022.44,0,,,Holstein bull Osborndale Tovarich Ormsby May,,2022-02-26 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,"Holiday card of Holstein bull Osborndale Torarich Ormsby May, who was the first-prize junior yearling at Eastern States Exposition 1938. Holiday greeting: Hearty Christmas Greetings and all good wishes for the New Year Osborndale Farm. Signed Frances Osborne Kellogg",,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC File Cabinet,5,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-02-26 00:00:00,,Paper Cardstock,,,,2022.44,"Print, Photographic",,,,,,Ph-P-440,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,Holiday Card of Holstein Bull Osborndale Torarich Ormsby May,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-08-18 12:45:00,Unknown,/ /,.F.
2022.439,0,,,Back of photo,,2022-02-26 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Photograph of Holstein bull,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC File Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-02-26 00:00:00,,Photo paper,,,,2022.439,"Print, Photographic",,,,,,Ph-P-439,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,Photograph of Holstein Bull,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-08-18 12:38:00,Unknown,/ /,.F.
